invoice_number,po_number,vendor_name,vendor_gstin,invoice_date,taxable_amount,total_amount,anomaly_label
INV-800000,PO-4500000000,Vertex Solutions Pvt Ltd,07AABDC9928F1Z6,11-Jan-2026,6369.72,7516.27,CLEAN
INV-800001,PO-4500000001,Vertex Solutions Pvt Ltd,07AABDC9928F1Z6,20-Jan-2026,13698.56,16164.3,CLEAN
INV-800002,PO-4500000002,Vertex Solutions Pvt Ltd,29XXXXX2169X1Z0,29-Jan-2026,27681.72,32664.43,VENDOR_MISMATCH
INV-800003,PO-4500000003,Vertex Solutions Pvt Ltd,07AABDC9928F1Z6,11-Jan-2026,56098.24,66195.92,CLEAN
INV-800004,PO-4500000004,Nexus Solutions Pvt Ltd,19AEABD6925F1Z9,30-Jan-2026,29316.96,34594.01,CLEAN
INV-800005,PO-4500000005,Vertex Solutions Pvt Ltd,29XXXXX4456X1Z0,20-Jan-2026,16392.72,19343.41,VENDOR_MISMATCH
INV-800006,PO-4500000006,Beta Solutions Pvt Ltd,07CEAED6574F1Z4,21-Jan-2026,27883.22,32902.2,CLEAN
INV-800007,PO-4500000007,Beta Solutions Pvt Ltd,27EBAAE5333F1Z0,15-Jan-2026,13639.34,16094.42,CLEAN
INV-800008,PO-4500000008,Beta Solutions Pvt Ltd,29XXXXX4593X1Z0,23-Jan-2026,42963.64,50697.1,VENDOR_MISMATCH
INV-800009,PO-4500000009,Nexus Solutions Pvt Ltd,19AEABD6925F1Z9,06-Jan-2026,21127.65,24930.63,CLEAN
INV-800010,PO-4500000010,Vertex Solutions Pvt Ltd,29XXXXX8668X1Z0,20-Jan-2026,41280.9,48711.46,VENDOR_MISMATCH
INV-800011,PO-4500000011,Beta Solutions Pvt Ltd,07CEAED6574F1Z4,04-Jan-2026,64482.3,76089.11,CLEAN
INV-800012,PO-4500000012,Nexus Solutions Pvt Ltd,19AEABD6925F1Z9,17-Jan-2026,39040.0,46067.2,PRICE_VARIANCE
INV-800013,PO-4500000013,Alpha Solutions Pvt Ltd,29DBAAD9935F1Z1,02-Feb-2026,47369.13,55895.57,PRICE_VARIANCE
INV-800014,PO-4500000014,Beta Solutions Pvt Ltd,29XXXXX3646X1Z0,12-Jan-2026,47491.92,56040.47,VENDOR_MISMATCH
